Destination_ID,Destination_Name,Latitude,Longitude,Type,Popularity_Score,Average_Rating,Number_of_Reviews,Climate,Accessibility_Score,Nearby_Attractions_Count,Description_Text
75,Colosseum,41.87138,13.04385,Historic Site,0.267,4.15,991,Cold,0.498,6,Popular destination featuring scenic trails.
76,Singapore,1.43753,103.72781,City,0.236,4.1,986,Cold,0.761,1,Popular destination featuring friendly locals.
77,Grand Canyon,36.62148,-111.8766,National Park,0.221,3.08,847,Cold,0.606,2,Offers a perfect getaway.
78,Cape Town,-33.66607,18.06123,City,0.374,3.54,1597,Temperate,0.554,7,Offers a unique travel experience.
79,Pyramids of Giza,29.5045,32.45039,Historic Site,0.32,3.71,1623,Cold,1.0,4,Popular destination featuring scenic trails.
80,Venice,46.01544,11.96391,City,0.144,4.35,608,Temperate,0.795,6,Offers a unique travel experience.
81,Colosseum,42.2011,11.70709,Historic Site,0.177,3.96,1009,Hot,0.727,2,Popular destination featuring scenic trails.
82,Amsterdam,52.5577,5.20939,City,0.252,3.96,928,Temperate,0.764,5,Popular destination featuring historic landmarks.
83,Los Angeles,34.18799,-118.88207,City,0.078,3.98,528,Temperate,0.704,5,Offers a family-friendly atmosphere.
84,Maldives,3.67194,72.96268,Island,0.324,4.11,1525,Temperate,0.888,1,Offers a family-friendly atmosphere.
85,Amazon Rainforest,-3.55874,-62.43577,Forest,0.458,4.13,2469,Temperate,0.712,3,Famous for its artistic heritage.
86,Chicago,41.61946,-86.92513,City,0.632,3.78,3451,Temperate,0.937,3,Popular destination featuring historic landmarks.
87,Banff,50.96831,-115.71169,National Park,0.136,3.98,726,Temperate,0.933,1,Offers a perfect getaway.
88,Maldives,3.69496,73.11371,Island,0.203,4.08,1115,Temperate,0.743,4,A temperate island known for its rich history.
89,Ibiza,38.58783,1.1551,Beach,0.216,4.71,967,Hot,0.575,2,Popular destination featuring scenic trails.
90,London,51.23129,0.18867,City,0.481,3.69,2326,Temperate,0.743,5,Famous for its adventure sports.
91,Maldives,3.53207,74.2258,Island,0.315,3.98,1935,Temperate,0.622,2,Offers a perfect getaway.
92,New York,40.70459,-73.4118,City,0.676,4.34,3747,Cold,0.788,4,A cold city known for its tranquil nature.
93,Amazon Rainforest,-3.16997,-61.66155,Forest,0.336,4.69,1811,Temperate,0.675,2,Popular destination featuring amazing food.
94,Buenos Aires,-34.00045,-58.79007,City,0.361,4.1,1816,Hot,0.496,6,Offers a memorable vacation.
95,Grand Canyon,36.42964,-111.03127,National Park,0.201,3.95,1062,Cold,0.791,2,A cold national park known for its beautiful beaches.
96,Amazon Rainforest,-3.68852,-62.11886,Forest,0.555,4.6,2471,Temperate,0.616,2,Famous for its lush landscapes.
97,Patagonia,-48.54824,-72.90908,Mountain,0.324,2.9,1750,Cold,0.848,3,Popular destination featuring amazing food.
98,Dubai,25.86007,55.15959,City,0.055,3.46,456,Cold,0.669,3,A cold city known for its beautiful beaches.
99,Maui,20.46384,-156.2948,Island,0.236,4.56,1234,Temperate,0.665,2,A temperate island known for its beautiful beaches.
100,Bali,-7.97923,115.32196,Island,0.336,4.35,1472,Temperate,0.693,2,Popular destination featuring scenic trails.
101,Cancun,20.7832,-87.53064,Beach,0.207,3.66,907,Hot,0.849,1,Offers a romantic escape.
102,Yellowstone,44.41531,-110.67502,National Park,0.315,4.38,1650,Cold,0.772,1,A cold national park known for its tranquil nature.
103,Amsterdam,52.0821,4.77244,City,0.205,3.42,1127,Temperate,0.967,3,Offers a romantic escape.
104,Maldives,3.22163,73.08611,Island,0.356,3.86,1977,Hot,0.793,1,Popular destination featuring unique wildlife.
105,Maui,20.57591,-156.19414,Island,0.148,3.68,819,Temperate,0.802,1,A temperate island known for its beautiful beaches.
106,Rocky Mountains,40.0946,-105.72483,Mountain,0.231,3.66,1079,Temperate,0.731,0,Popular destination featuring amazing food.
107,Grand Canyon,35.84225,-111.80356,National Park,0.275,4.22,1147,Cold,0.785,1,Famous for its breathtaking sunsets.
108,Los Angeles,34.158,-117.69818,City,0.292,4.79,1149,Temperate,1.0,4,Offers a unique travel experience.
109,Himalayas,28.87821,86.10852,Mountain,0.107,4.69,613,Cold,0.597,2,Offers a unique travel experience.
110,Amsterdam,52.22186,4.07885,City,0.197,2.58,752,Temperate,0.748,5,Famous for its breathtaking sunsets.
111,Rome,41.85938,12.90005,City,0.122,4.17,301,Cold,0.659,0,Offers a memorable vacation.
112,Amsterdam,52.49469,4.77447,City,0.305,4.43,1693,Cold,0.883,7,A cold city known for its tranquil nature.
113,Moscow,55.71104,37.79863,City,0.49,3.9,2460,Temperate,0.597,4,A temperate city known for its rich history.
114,Serengeti,-2.85078,34.7383,National Park,0.25,4.17,830,Temperate,1.0,1,Famous for its breathtaking sunsets.
115,Grand Canyon,36.3086,-112.58213,National Park,0.434,4.96,2280,Temperate,0.562,1,Famous for its breathtaking sunsets.
116,Yosemite,38.8668,-119.05682,National Park,0.219,4.59,875,Cold,0.945,1,Famous for its adventure sports.
117,Yosemite,38.01341,-119.03573,National Park,0.13,4.23,314,Temperate,0.56,3,A temperate national park known for its stunning views.
118,Singapore,1.63708,104.18053,City,0.377,4.06,1627,Hot,0.453,3,A hot city known for its tranquil nature.
119,Himalayas,28.76408,86.14864,Mountain,0.124,4.5,171,Cold,0.598,2,Offers a memorable vacation.
120,Fiji,-17.15034,177.83788,Island,0.42,3.18,2567,Temperate,0.809,2,A temperate island known for its beautiful beaches.
121,Pyramids of Giza,30.26693,31.00786,Historic Site,0.409,3.86,1869,Cold,0.552,6,A cold historic site known for its stunning views.
122,Bangkok,13.44758,99.54575,City,0.44,4.47,2174,Hot,0.676,3,A hot city known for its rich history.
123,Bali,-8.06498,116.01531,Island,0.496,4.22,2759,Temperate,0.689,1,Popular destination featuring scenic trails.
124,Lisbon,38.75414,-8.90332,City,0.28,4.02,1498,Cold,0.506,7,Famous for its breathtaking sunsets.
125,Colosseum,41.73975,12.35454,Historic Site,0.464,4.45,2682,Cold,0.576,5,Popular destination featuring scenic trails.
126,Angkor Wat,13.02149,104.97835,Historic Site,0.078,4.21,636,Hot,0.944,1,Popular destination featuring amazing food.
127,Chicago,42.01198,-86.90005,City,0.087,4.82,632,Cold,0.866,5,Offers a perfect getaway.
128,Grand Canyon,35.83983,-112.92442,National Park,0.416,3.49,1961,Cold,0.67,1,Offers a romantic escape.
129,Fiji,-17.69667,177.75409,Island,0.336,4.42,1447,Hot,0.515,2,Famous for its artistic heritage.
130,New York,41.68607,-74.13625,City,0.457,4.04,2088,Hot,0.794,3,Famous for its lush landscapes.
131,Patagonia,-49.29036,-72.08447,Mountain,0.149,4.3,637,Temperate,0.489,2,Famous for its lush landscapes.
132,Istanbul,41.39824,29.01599,City,0.428,3.85,2238,Cold,0.787,2,Famous for its breathtaking sunsets.
133,Bali,-8.78537,114.73986,Island,0.445,4.25,2655,Temperate,0.53,2,Offers a unique travel experience.
134,Grand Canyon,36.12253,-111.98725,National Park,0.256,3.95,1392,Cold,0.79,1,Offers a perfect getaway.
135,Barcelona,41.26692,1.57944,City,0.209,4.0,1001,Temperate,0.73,9,A temperate city known for its beautiful beaches.
136,Stonehenge,51.02883,-2.15141,Historic Site,0.473,3.85,2468,Cold,0.708,1,Famous for its breathtaking sunsets.
137,Pyramids of Giza,29.65594,29.69006,Historic Site,0.452,4.3,2068,Temperate,0.763,3,Popular destination featuring friendly locals.
138,Lisbon,38.69097,-9.42112,City,0.256,3.85,1282,Temperate,0.591,1,Popular destination featuring friendly locals.
139,Serengeti,-1.87708,35.08306,National Park,0.745,3.89,3968,Temperate,0.653,2,Offers a romantic escape.
140,Barcelona,41.7662,2.15845,City,0.288,4.2,1242,Hot,0.695,1,Offers a memorable vacation.
141,Serengeti,-1.30302,34.23677,National Park,0.273,4.86,1189,Cold,0.359,2,Offers a family-friendly atmosphere.
142,Buenos Aires,-34.50015,-57.81044,City,0.087,3.76,416,Temperate,0.838,7,Popular destination featuring amazing food.
143,Sydney,-33.26156,151.34757,City,0.382,3.62,1927,Temperate,0.958,4,A temperate city known for its vibrant culture.
144,Lisbon,38.76732,-9.02082,City,0.331,3.51,1789,Cold,0.874,4,Popular destination featuring historic landmarks.
145,Fiji,-17.93143,178.20627,Island,0.113,3.62,312,Temperate,0.625,2,Offers a romantic escape.
146,Yellowstone,43.96519,-110.26766,National Park,0.527,4.46,2926,Cold,0.97,2,Popular destination featuring amazing food.
147,Amazon Rainforest,-3.16859,-62.64277,Forest,0.441,3.02,2322,Cold,0.722,1,Offers a family-friendly atmosphere.
148,Stonehenge,51.01317,-1.72096,Historic Site,0.177,3.71,1054,Cold,0.578,7,Famous for its breathtaking sunsets.
149,Dubai,25.13478,55.7151,City,0.356,3.35,1762,Temperate,0.687,6,Popular destination featuring historic landmarks.
150,Bali,-8.05154,115.10724,Island,0.067,4.85,10,Hot,0.712,3,Offers a unique travel experience.
151,Angkor Wat,13.72427,104.03133,Historic Site,0.416,3.39,2247,Hot,0.561,7,Offers a unique travel experience.
152,Mount Fuji,35.14919,138.85773,Mountain,0.146,4.22,787,Temperate,0.918,0,Popular destination featuring friendly locals.
153,Venice,44.88765,12.08841,City,0.079,3.8,56,Hot,0.919,8,Popular destination featuring friendly locals.
154,Grand Canyon,35.73145,-111.52963,National Park,0.224,5.0,1144,Cold,0.597,3,Famous for its peaceful environment.
155,Maui,21.74171,-155.51644,Island,0.33,3.72,1873,Temperate,0.603,2,Offers a romantic escape.
156,Patagonia,-48.98998,-74.26298,Mountain,0.472,3.07,2453,Temperate,0.495,2,Offers a romantic escape.
157,Pyramids of Giza,30.26758,32.0651,Historic Site,0.13,3.52,890,Cold,0.409,2,Popular destination featuring scenic trails.
158,Yellowstone,44.60232,-111.29391,National Park,0.102,3.12,715,Cold,0.671,1,Famous for its breathtaking sunsets.
159,Taj Mahal,27.37599,77.94604,Historic Site,0.476,4.89,2559,Cold,0.817,5,Famous for its artistic heritage.
160,Colosseum,41.34127,12.68985,Historic Site,0.188,3.9,1010,Temperate,0.667,3,Offers a memorable vacation.
161,Yosemite,37.40368,-119.69022,National Park,0.5,3.63,2520,Temperate,0.53,0,Famous for its lush landscapes.
162,Grand Canyon,35.59358,-111.98936,National Park,0.466,3.74,2109,Cold,0.785,0,A cold national park known for its stunning views.
163,Great Wall of China,41.6393,116.6104,Historic Site,0.399,3.59,2197,Cold,1.0,4,Famous for its adventure sports.
164,Los Angeles,34.12836,-118.05396,City,0.66,2.54,3211,Cold,1.0,8,A cold city known for its rich history.
165,Colosseum,41.37301,12.13682,Historic Site,0.292,4.69,1332,Cold,0.79,3,Famous for its artistic heritage.
166,Galápagos Islands,-1.20902,-90.38463,Island,0.137,3.87,613,Hot,0.777,2,Popular destination featuring unique wildlife.
167,Moscow,55.73984,37.58678,City,0.171,5.0,1063,Hot,0.776,7,Famous for its lush landscapes.
168,Bangkok,13.47223,99.58642,City,0.162,4.54,965,Temperate,0.671,2,Offers a perfect getaway.
169,Sydney,-33.80994,151.70059,City,0.401,3.8,2065,Hot,0.814,4,A hot city known for its rich history.
170,Ibiza,38.32511,1.0527,Beach,0.292,4.71,1511,Hot,0.693,3,Famous for its breathtaking sunsets.
171,Taj Mahal,27.89127,77.44759,Historic Site,0.149,5.0,586,Cold,0.789,5,A cold historic site known for its beautiful beaches.
172,Taj Mahal,27.3272,78.94604,Historic Site,0.21,3.94,1032,Hot,0.364,4,Famous for its lush landscapes.
173,Pyramids of Giza,30.47554,31.40711,Historic Site,0.161,3.82,672,Hot,0.396,6,A hot historic site known for its stunning views.
174,Cape Town,-33.29637,17.66488,City,0.407,3.99,2110,Hot,0.581,7,A hot city known for its stunning views.
175,Buenos Aires,-35.16439,-58.58263,City,0.264,3.33,930,Cold,0.719,7,Offers a unique travel experience.
176,Machu Picchu,-13.82147,-72.18319,Historic Site,0.324,3.88,1425,Cold,0.723,1,Offers a family-friendly atmosphere.
177,Amsterdam,51.2291,4.97451,City,0.495,3.95,2429,Hot,0.763,4,Popular destination featuring amazing food.
178,Santorini,36.76849,25.55949,Island,0.419,4.54,2227,Hot,0.642,2,Offers a perfect getaway.
179,Amsterdam,52.04471,4.44875,City,0.279,3.85,1072,Hot,0.817,7,A hot city known for its stunning views.
180,London,51.07542,0.08636,City,0.412,3.92,2077,Temperate,0.63,3,A temperate city known for its rich history.
181,Dubai Desert,25.16623,55.48697,Desert,0.34,4.25,1832,Hot,1.0,0,Popular destination featuring amazing food.
182,Great Wall of China,40.08793,117.30743,Historic Site,0.222,4.48,1356,Hot,0.962,2,Famous for its adventure sports.
183,Istanbul,41.39964,28.49565,City,0.133,3.91,961,Hot,0.792,9,Popular destination featuring amazing food.
184,Machu Picchu,-13.10958,-72.59777,Historic Site,0.293,3.98,1423,Temperate,0.39,5,Popular destination featuring amazing food.
185,Venice,44.82077,11.86833,City,0.19,3.62,1044,Temperate,1.0,5,Offers a family-friendly atmosphere.
186,Amazon Rainforest,-3.55554,-62.60548,Forest,0.263,3.6,1309,Cold,0.861,1,Popular destination featuring historic landmarks.
187,Pyramids of Giza,29.65275,30.44535,Historic Site,0.043,4.25,397,Hot,0.619,5,A hot historic site known for its tranquil nature.
188,Yosemite,37.55771,-119.89244,National Park,0.607,3.64,3340,Cold,0.626,2,A cold national park known for its vibrant culture.
189,Barcelona,41.30095,2.7866,City,0.45,4.01,2292,Temperate,0.814,5,Famous for its breathtaking sunsets.
190,Pyramids of Giza,30.2975,31.16338,Historic Site,0.16,3.9,1337,Cold,0.627,1,Famous for its peaceful environment.
191,Yellowstone,44.79432,-110.16077,National Park,0.537,4.89,2493,Cold,0.536,1,Offers a memorable vacation.
192,Fiji,-16.99669,178.32903,Island,0.352,4.41,1392,Hot,0.876,3,Offers a family-friendly atmosphere.
193,Galápagos Islands,-0.56402,-91.45899,Island,0.623,3.89,2923,Hot,0.635,2,Famous for its peaceful environment.
194,Singapore,1.27143,103.11347,City,0.666,3.6,3004,Cold,0.891,8,A cold city known for its vibrant culture.
195,Cancun,20.93085,-86.87449,Beach,0.089,4.0,225,Hot,0.646,0,Famous for its lush landscapes.
196,Stonehenge,51.00141,-1.87292,Historic Site,0.205,4.18,716,Hot,0.477,6,Famous for its artistic heritage.
197,Great Wall of China,39.41242,116.66205,Historic Site,0.083,4.25,202,Temperate,0.569,2,Popular destination featuring friendly locals.
198,Singapore,0.91958,103.85036,City,0.468,4.12,2300,Cold,1.0,5,Famous for its breathtaking sunsets.
199,Rome,42.35253,13.47675,City,0.49,3.95,2145,Temperate,0.736,5,A temperate city known for its tranquil nature.
200,Great Wall of China,41.31646,116.38952,Historic Site,0.251,3.82,1228,Cold,0.524,4,Famous for its adventure sports.
201,Maldives,3.39806,73.34834,Island,0.535,3.67,2721,Temperate,0.337,4,Offers a romantic escape.
202,Sydney,-34.00366,151.80628,City,0.175,4.04,1109,Hot,0.669,4,Offers a memorable vacation.
203,Bali,-7.83872,116.25862,Island,0.294,3.81,1660,Temperate,0.865,1,Famous for its peaceful environment.
204,Amazon Rainforest,-3.83884,-61.64321,Forest,0.132,4.26,762,Temperate,0.807,2,A temperate forest known for its stunning views.
205,Taj Mahal,26.87818,78.39065,Historic Site,0.404,4.54,1856,Hot,0.696,1,Offers a family-friendly atmosphere.
206,Bali,-9.15678,114.99648,Island,0.389,4.11,2236,Temperate,0.7,1,Offers a unique travel experience.
207,Rome,41.94406,12.41572,City,0.221,3.53,1075,Temperate,0.805,4,A temperate city known for its tranquil nature.
208,Los Angeles,34.36888,-119.0141,City,0.238,4.14,1020,Temperate,0.75,5,Famous for its breathtaking sunsets.
209,Toronto,44.15505,-78.28946,City,0.088,3.75,607,Hot,0.784,5,A hot city known for its beautiful beaches.
210,Banff,51.86325,-116.14861,National Park,0.275,3.12,1443,Cold,0.558,1,Popular destination featuring amazing food.
211,Swiss Alps,46.89529,10.13455,Mountain,0.09,3.57,392,Cold,0.583,2,A cold mountain known for its stunning views.
212,Yellowstone,44.1839,-110.07479,National Park,0.123,3.93,602,Temperate,0.997,3,Offers a romantic escape.
213,Serengeti,-2.99735,35.09442,National Park,0.144,4.1,761,Cold,0.657,1,Famous for its artistic heritage.
214,Bangkok,13.82619,100.70576,City,0.408,2.85,1759,Cold,0.488,7,A cold city known for its vibrant culture.
215,Buenos Aires,-34.76375,-58.57993,City,0.245,3.96,1420,Temperate,0.94,3,Offers a perfect getaway.
216,Chicago,41.66912,-86.9925,City,0.537,4.82,2723,Cold,0.678,3,A cold city known for its beautiful beaches.
217,Swiss Alps,46.18133,8.78508,Mountain,0.303,3.5,1672,Temperate,0.339,1,Famous for its adventure sports.
218,Galápagos Islands,-0.94629,-90.69657,Island,0.387,4.56,1960,Hot,0.932,1,Popular destination featuring friendly locals.
219,Istanbul,41.10432,29.46883,City,0.263,3.27,1511,Cold,0.497,6,Offers a family-friendly atmosphere.
220,Dubai Desert,25.48668,54.17645,Desert,0.14,3.18,563,Hot,0.694,2,Popular destination featuring historic landmarks.
221,Fiji,-17.68759,177.96214,Island,0.198,3.84,1066,Hot,0.912,2,A hot island known for its vibrant culture.
222,Maui,20.61361,-156.98096,Island,0.598,3.37,2936,Hot,0.425,2,A hot island known for its beautiful beaches.
223,Santorini,36.70316,24.91696,Island,0.426,4.09,2024,Temperate,0.734,2,Offers a romantic escape.
224,Yellowstone,44.11918,-109.49468,National Park,0.091,3.87,545,Temperate,0.756,2,Offers a unique travel experience.
225,Swiss Alps,47.05352,9.44511,Mountain,0.061,3.67,413,Temperate,0.613,2,A temperate mountain known for its stunning views.
226,Swiss Alps,47.17365,9.61456,Mountain,0.075,3.35,423,Temperate,0.52,1,Popular destination featuring amazing food.
227,Santorini,37.17433,25.77074,Island,0.365,4.3,1921,Temperate,0.807,1,A temperate island known for its beautiful beaches.
228,Colosseum,41.45374,12.48233,Historic Site,0.221,3.68,834,Cold,0.46,5,Offers a perfect getaway.
229,Lisbon,38.7975,-9.08904,City,0.433,4.4,2439,Temperate,0.513,3,Popular destination featuring amazing food.
230,Maui,20.49955,-157.09504,Island,0.308,4.34,1231,Temperate,0.998,2,Famous for its lush landscapes.
231,Himalayas,29.30491,86.52245,Mountain,0.431,4.46,2082,Cold,0.179,2,Offers a perfect getaway.
232,Swiss Alps,46.22485,9.38164,Mountain,0.399,4.1,1897,Cold,0.844,3,Popular destination featuring unique wildlife.
233,Maldives,3.5731,72.74461,Island,0.561,4.16,2940,Temperate,0.316,1,A temperate island known for its rich history.
234,Lisbon,38.2107,-9.65427,City,0.122,3.43,559,Hot,0.87,2,Famous for its lush landscapes.
235,Amazon Rainforest,-4.06444,-61.7841,Forest,0.278,3.87,1682,Temperate,0.442,1,Popular destination featuring scenic trails.
236,Grand Canyon,36.22119,-111.21182,National Park,0.282,4.7,1092,Temperate,0.819,2,Popular destination featuring friendly locals.
237,Fiji,-17.31172,178.08166,Island,0.104,3.91,738,Temperate,0.849,2,Famous for its lush landscapes.
238,Yosemite,37.82799,-118.99457,National Park,0.32,3.69,1341,Temperate,0.517,3,Famous for its artistic heritage.
239,Amazon Rainforest,-2.99652,-61.89909,Forest,0.399,3.81,1853,Cold,0.917,1,Popular destination featuring historic landmarks.
